DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-04-24 23:00:00;SBER;60;235.09;235.17;235.02;235.1;405260
2023-04-25 10:00:00;SBER;60;235.16;235.75;234.32;234.46;9152490
2023-04-25 11:00:00;SBER;60;234.47;235.64;234.21;235.12;6134450
2023-04-25 12:00:00;SBER;60;235.09;235.29;234.8;234.87;2296870
2023-04-25 13:00:00;SBER;60;234.87;235.1;234.4;234.91;2728210
2023-04-25 14:00:00;SBER;60;234.9;235.15;234.8;235.0;1205630
2023-04-25 15:00:00;SBER;60;235.0;235.59;234.9;235.22;3092540
2023-04-25 16:00:00;SBER;60;235.23;235.5;234.9;235.49;2084230
2023-04-25 17:00:00;SBER;60;235.5;235.82;235.0;235.05;1895190
2023-04-25 18:00:00;SBER;60;235.05;235.29;235.0;235.29;599740
2023-04-25 19:00:00;SBER;60;235.03;235.28;234.81;235.01;506450
2023-04-25 20:00:00;SBER;60;235.0;235.16;234.75;234.86;654400
2023-04-25 21:00:00;SBER;60;234.85;234.92;234.65;234.87;511460
2023-04-25 22:00:00;SBER;60;234.85;235.08;234.8;234.99;481950
2023-04-25 23:00:00;SBER;60;234.95;235.3;234.9;235.3;720140
2023-04-26 10:00:00;SBER;60;235.55;235.95;235.04;235.17;3934490
2023-04-26 11:00:00;SBER;60;235.17;235.35;235.06;235.28;1621060
2023-04-26 12:00:00;SBER;60;235.28;235.3;235.0;235.07;2174200
2023-04-26 13:00:00;SBER;60;235.07;235.32;235.07;235.17;1681030
2023-04-26 14:00:00;SBER;60;235.17;235.58;235.12;235.52;1970900
2023-04-26 15:00:00;SBER;60;235.52;235.9;235.51;235.9;2876410
2023-04-26 16:00:00;SBER;60;235.89;235.9;235.4;235.59;1943850
2023-04-26 17:00:00;SBER;60;235.58;235.61;235.17;235.18;1503760
2023-04-26 18:00:00;SBER;60;235.18;235.65;235.17;235.33;1895540
2023-04-26 19:00:00;SBER;60;235.33;235.8;235.3;235.65;1555350
2023-04-26 20:00:00;SBER;60;235.65;235.68;235.46;235.48;431070
2023-04-26 21:00:00;SBER;60;235.48;235.57;235.45;235.5;553530
2023-04-26 22:00:00;SBER;60;235.5;235.53;235.05;235.09;1013430
2023-04-26 23:00:00;SBER;60;235.09;235.36;234.91;235.21;1197000
2023-04-27 10:00:00;SBER;60;235.51;237.8;235.13;237.25;12483080
2023-04-27 11:00:00;SBER;60;237.26;238.35;237.26;238.02;7485360
2023-04-27 12:00:00;SBER;60;238.01;239.2;237.57;238.72;7633950
2023-04-27 13:00:00;SBER;60;238.72;240.34;238.56;240.2;10135430
2023-04-27 14:00:00;SBER;60;240.21;240.24;238.61;238.69;7238320
2023-04-27 15:00:00;SBER;60;238.69;239.63;238.23;239.2;5675040
2023-04-27 16:00:00;SBER;60;239.2;240.0;239.2;239.85;3309510
2023-04-27 17:00:00;SBER;60;239.85;240.0;239.26;239.8;3444370
2023-04-27 18:00:00;SBER;60;239.8;239.93;238.75;239.49;3044420
2023-04-27 19:00:00;SBER;60;239.2;239.93;239.2;239.79;1305000
2023-04-27 20:00:00;SBER;60;239.78;239.98;239.67;239.92;1220110
2023-04-27 21:00:00;SBER;60;239.92;240.0;239.75;239.9;1358450
2023-04-27 22:00:00;SBER;60;239.91;240.48;239.81;240.23;1974930
2023-04-27 23:00:00;SBER;60;240.23;240.74;240.06;240.38;1916870
2023-04-28 10:00:00;SBER;60;240.86;241.58;240.16;240.56;12403050
2023-04-28 11:00:00;SBER;60;240.57;240.75;240.0;240.56;4054910
2023-04-28 12:00:00;SBER;60;240.59;240.74;239.62;239.73;2712460
2023-04-28 13:00:00;SBER;60;239.73;240.42;239.72;239.86;2569030
2023-04-28 14:00:00;SBER;60;239.89;239.98;237.66;238.24;11093890
2023-04-28 15:00:00;SBER;60;238.25;239.81;237.83;239.77;5028930
2023-04-28 16:00:00;SBER;60;239.76;240.48;239.57;239.94;3291100
2023-04-28 17:00:00;SBER;60;239.93;239.99;239.57;239.92;1247820
2023-04-28 18:00:00;SBER;60;239.92;240.42;239.86;240.41;1643000
2023-04-28 19:00:00;SBER;60;240.38;240.4;240.0;240.12;952270
2023-04-28 20:00:00;SBER;60;240.13;240.15;239.33;239.35;1453770
2023-04-28 21:00:00;SBER;60;239.35;240.0;239.32;240.0;601770
2023-04-28 22:00:00;SBER;60;240.0;240.24;239.86;240.14;708460
2023-04-28 23:00:00;SBER;60;240.1;240.38;240.06;240.38;1734500
2023-05-02 10:00:00;SBER;60;242.2;244.47;241.63;243.65;17442110
2023-05-02 11:00:00;SBER;60;243.65;244.23;242.65;243.61;7164910
2023-05-02 12:00:00;SBER;60;243.67;244.44;243.39;243.93;5347340
2023-05-02 13:00:00;SBER;60;243.93;245.0;243.88;244.74;5740390
2023-05-02 14:00:00;SBER;60;244.73;244.75;244.01;244.57;3627810
2023-05-02 15:00:00;SBER;60;244.56;244.75;244.01;244.11;2662450
2023-05-02 16:00:00;SBER;60;244.11;244.25;243.41;243.58;3606850
2023-05-02 17:00:00;SBER;60;243.56;244.25;237.4;239.02;19115320
2023-05-02 18:00:00;SBER;60;239.09;241.77;238.9;240.15;9663710
